kx,ky,ε_up_1,ε_dn_1,ε_up_2,ε_dn_2
-0.15866629563584814,0.15866629563584814,-5.2062453893657095,-5.216384348204971,2.8661600480765745,2.8762990069158376
-0.17453292519943295,0.17453292519943295,-5.188694559814035,-5.200972212892598,2.861063414870945,2.873341067949508
-0.19039955476301776,0.19039955476301776,-5.169514246138034,-5.184138107843502,2.855472726518747,2.8700965882242153
-0.2062661843266026,0.2062661843266026,-5.148715797539506,-5.165894449917241,2.8493856486210234,2.866564300998759
-0.22213281389018738,0.22213281389018738,-5.1263115018351275,-5.146254697780355,2.842799655891182,2.8627428518364098
-0.23799944345377222,0.23799944345377222,-5.102314573568671,-5.125233342731558,2.835712035182763,2.858630804345649
-0.25386607301735703,0.25386607301735703,-5.076739141243843,-5.10284589891576,2.828119888760102,2.854226646432017
-0.26973270258094184,0.26973270258094184,-5.049600233693995,-5.079108892955643,2.8200201378120218,2.8495287970736696
-0.28559933214452665,0.28559933214452665,-5.020913765606078,-5.0540398530318305,2.8114095262086605,2.8445356136344127
-0.30146596170811146,0.30146596170811146,-4.990696522217341,-5.027657297444969,2.8022846245015423,2.839245399729169
-0.3173325912716963,0.3173325912716963,-4.95896614320427,-4.999980722695433,2.7926418341669983,2.8336564136581632
-0.3331992208352811,0.3331992208352811,-4.925741105784367,-4.971030591118726,2.7824773920930226,2.82776687742738
-0.3490658503988659,0.3490658503988659,-4.891040707052391,-4.940828318117089,2.7717873753096174,2.8215749863743156
-0.3649324799624507,0.3649324799624507,-4.854885045573608,-4.9093962590303395,2.7605677059627025,2.815078919419434
-0.3807991095260355,0.3807991095260355,-4.817295002257682,-4.87675769569144,2.7488141565315964,2.808276849965357
-0.3966657390896204,0.3966657390896204,-4.778292220537668,-4.842936822714927,2.736522355290082,2.801166957467342
-0.4125323686532052,0.4125323686532052,-4.737899085879581,-4.807958733568911,2.723687792011023,2.7937474397003523
-0.42839899821678995,0.42839899821678995,-4.696138704648823,-4.771849406484082,2.710305823914481,2.7860165257497416
-0.44426562778037476,0.44426562778037476,-4.653034882360663,-4.734635690255871,2.696371681859236,2.777972489754445
-0.46013225734395957,0.46013225734395957,-4.6086121013427785,-4.696345289998687,2.6818804767775783,2.7696136654334866
-0.47599888690754444,0.47599888690754444,-4.562895497838654,-4.65700675291404,2.666827206353216,2.7609384614286037
-0.49186551647112925,0.49186551647112925,-4.515910838581404,-4.616649454137202,2.6512067619420723,2.7519453774978704
-0.5077321460347141,0.5077321460347141,-4.467684496868347,-4.575303582730006,2.635013935735744,2.742633021597402
-0.5235987755982988,0.5235987755982988,-4.418243428167325,-4.533000127890377,2.618243428167324,2.7330001278903775
-0.5394654051618837,0.5394654051618837,-4.367615145286482,-4.489770865452163,2.6008898555592617,2.7230455757249437
-0.5553320347254684,0.5553320347254684,-4.315827693139833,-4.445648344751853,2.5829477580129043,2.7127684096249234
-0.5711986642890533,0.5711986642890533,-4.262909623141587,-4.40066587594181,2.5644116075393244,2.702167860339545
-0.5870652938526382,0.5870652938526382,-4.208889967262777,-4.354857517832616,2.545275816431022,2.691243367000861
-0.6029319234162229,0.6029319234162229,-4.15379821178433,-4.308258066350094,2.525534745874083,2.6799946004398474
-0.6187985529798077,0.6187985529798077,-4.097664270781241,-4.260903043695411,2.505182714800335,2.668421487714504
-0.6346651825433925,0.6346651825433925,-4.040518459373062,-4.212828688299444,2.4842140089791327,2.656524237905515
-0.6505318121069774,0.6505318121069774,-3.98239146677641,-4.164071945665122,2.462622890348367,2.644303369237081
-0.6663984416705622,0.6663984416705622,-3.923314329195729,-4.114670460193784,2.440403606584417,2.631759737582471
-0.682265071234147,0.682265071234147,-3.8633184025890372,-4.064662568093608,2.4175504009108084,2.6188945664153778
-0.6981317007977318,0.6981317007977318,-3.802435335345885,-4.014087291469758,2.3940575221455678,2.6057094782694414
-0.7139983303613165,0.7139983303613165,-3.740697040915308,-3.9629843336969235,2.3699192349873663,2.5922065277689805
-0.7298649599249014,0.7298649599249014,-3.6781356704220896,-3.9113940761753443,2.345129830540876,2.5783882362941313
-0.7457315894884863,0.7457315894884863,-3.6147835853102546,-3.859357576570997,2.319683637082108,2.564257628342851
-0.761598219052071,0.761598219052071,-3.550673330053386,-3.806916568639098,2.2935750310648952,2.5498182696506073
-0.7774648486156559,0.7774648486156559,-3.485837604972092,-3.7541134637274274,2.266798448370323,2.535074307125657
-0.7933314781792408,0.7933314781792408,-3.420309239199808,-3.7009913540516823,2.2393483958015783,2.5200305106534526
-0.8091981077428255,0.8091981077428255,-3.3541211638391433,-3.6475940178290136,2.2112194628276334,2.5046923168175046
-0.8250647373064104,0.8250647373064104,-3.2873063853521485,-3.5939659263475354,2.182406333580295,2.489065874575681
-0.8409313668699951,0.8409313668699951,-3.219897959229356,-3.540152253038682,2.152903799110569,2.473158092919894
-0.8567979964335799,0.8567979964335799,-3.1519289639841452,-3.4861988846050957,2.122706769912087,2.4569766905330375
-0.8726646259971648,0.8726646259971648,-3.0834324755211684,-3.432152434238891,2.0918102887214847,2.440530247439207
-0.8885312555607495,0.8885312555607495,-3.0144415419301733,-3.3780602569428377,2.0602095436084022,2.4238282586210667
-0.9043978851243345,0.9043978851243345,-2.9449891587598183,-3.3239704669395955,2.0278998813711313,2.406881189550909
-0.9202645146879191,0.9202645146879191,-2.8751082448301237,-3.2699319571206766,1.9948768212581651,2.389700533548718
-0.9361311442515039,0.9361311442515039,-2.804831618647228,-3.2159944204464477,1.9611360690411574,2.3722988708403765
-0.9519977738150889,0.9519977738150889,-2.7341919754904405,-3.16220837316013,1.9266735314713466,2.3546899291410366
-0.9678644033786736,0.9678644033786736,-2.6632218652494775,-3.1086251796212547,1.8914853311597237,2.3368886455315003
-0.9837310329422585,0.9837310329422585,-2.5919536710997297,-3.0552970784962126,1.855567821931484,2.318911229327967
-0.9995976625058433,0.9995976625058433,-2.5204195891160643,-3.0022772099641744,1.8189176047183286,2.3007752255664387
-1.0154642920694281,1.0154642920694281,-2.4486516089416215,-2.94961964350427,1.7815315440685506,2.282499578631199
-1.0313309216330129,1.0313309216330129,-2.376681495648535,-2.8973794057234836,1.7434067853757533,2.264104695450703
-1.0471975511965976,1.0471975511965976,-2.304540772953656,-2.8456125075628513,1.7045407729536555,2.245612507562851
